linha_produto,faturamento_total,quantidade_total,ticket_medio,avaliacao_media
Food and beverages,61650.288,1033,344.41501675977656,6.88268156424581
Health and beauty,60406.311,1040,324.7651129032258,6.847849462365591
Electronic accessories,54798.702,980,299.4464590163934,7.1005464480874325
Home and lifestyle,52405.8675,908,323.4930092592593,6.996913580246914
Sports and travel,49725.1755,800,342.9322448275862,7.05103448275862
Fashion accessories,48633.6795,808,335.40468620689654,6.8020689655172415
